,Subject,k,z1,z2,z3,zNW,a0/BA,a1/BS,x0,sz,nondectime,l,m1,m2,m3,mNW,BA,BS,x0.1,sz.1,nondectime.1,"LogLoss (nlDDM, train)","LogLoss (OU, train)","BIC (nlDDM, train)","BIC (OU, train)","LogLoss (nlDDM, test)","LogLoss (OU, test)","BIC (nlDDM, test)","BIC (OU, test)",# train samples,# test samples,CV
0,4.0,8.65178189863087,-0.9841351795257264,-0.8596452196376152,-0.5716217303973372,-0.8592839776806726,0.9708213986923896,1.2938498652433983,-0.060496220041539,0.9419091375082426,0.3211101991301777,0.1974737580680114,1.370010766110104,0.9796949448754102,0.6946250167605008,0.8384698999616411,0.2068972111635201,0.1260132002443068,-0.0873846251258844,0.0635787887850654,0.3261643782154139,-1142.0763424691268,-1135.8183266530302,-2210.7898283380405,-2198.2737967058474,-207.93186813869423,-186.73482300857776,-356.35731075151125,-313.96322049127826,1535.0,384.0,0
0,4.0,9.562618503532892,-0.9968934738780786,-0.8156964933141886,-0.5688773700087586,-0.8293847032396617,0.9210218630002732,1.2249981874066675,-0.1058685356188855,0.9348426653619734,0.3213278126576477,0.5963703716605346,1.518154308576405,1.0733347830725304,0.6900339304060576,0.846892545720328,0.2036462681970099,0.1314606537433928,-0.1945227890835729,0.0622033328130755,0.3218262523200367,-1079.3852038985042,-1064.917667956081,-2085.407551196796,-2056.472479311949,-270.1238076917453,-292.23444931327595,-480.7411898576133,-524.9624731006746,1535.0,384.0,1
0,4.0,9.92450859567518,-1.0,-0.8147722128163056,-0.6669615022096202,-0.8558566351243707,0.8900000045788061,1.171404337771422,-0.2407508788962377,0.8653202757708769,0.290612171461025,0.2964420081410432,1.0907312213054905,0.9169387197504656,0.6200823820078885,0.8371978442976689,0.2084208299429684,0.1307728700838555,-0.1035444604749059,0.1114944172418965,0.3244957487803498,-1070.6216083949266,-1078.8403101979732,-2067.88036018964,-2084.3177637957333,-288.93319652630026,-293.48902689618814,-518.3599675267233,-527.471628266499,1535.0,384.0,2
0,4.0,9.832417333193582,-0.9936864339113664,-0.9054711627861856,-0.5796656111750756,-0.8965354937306088,0.8759701100082156,1.216358092552078,-0.0878363657489812,0.936855588577896,0.3199001282109973,0.3777488402703168,1.4919145469708883,1.0131311726174657,0.7039996177631336,0.8496617797698569,0.2039052559496998,0.1326761037783899,-0.1999094466637765,0.0065419421365718,0.3239881344627786,-1068.0191490148304,-1106.9735279448385,-2062.675441429448,-2140.584199289464,-287.23205600180967,-254.21407651953277,-514.9576864777421,-448.9217275131882,1535.0,384.0,3
0,4.0,9.146585879932278,-0.9966722338026996,-0.8710828137852291,-0.6136560239748071,-0.8664196163932517,0.9069745875403228,1.2724511154744382,-0.1566181661757879,0.923582321729016,0.3128922340912974,0.6092482872586231,1.1087302954165632,0.9329221347090152,0.6772775232117514,0.9212779956706284,0.2081367458874798,0.1324969689272448,-0.150570019290602,0.0460838426907382,0.3205950138254418,-1076.6178456543832,-1110.2844560992685,-2079.86632217169,-2147.1995430614606,-278.3832422818803,-229.5652813054096,-497.2861346719542,-399.6502127190128,1536.0,383.0,4
0,5.0,1.5534540217658734,-0.9904974511428568,-0.8496555627395941,-0.6743043394604723,-0.8729612222569714,2.2023072906035197,3.3038874248797336,-0.3747073839920395,0.9299497761208816,0.3025551912315685,5.168273102446754,7.402810885411283,7.275127456726338,7.014965733242924,7.069077564842375,1.3357232575008349,1.1823439448798088,0.5952292433482624,0.1616970065679872,0.2584709528776389,-1092.5555544503989,2045.8595485992123,-2111.7417397637214,4165.088466335501,-213.4154365168432,694.6714975027431,-367.3244475078092,1448.8494205313636,1536.0,384.0,0
0,5.0,9.281048013828524,-0.974303022470905,-0.8458998285133036,-0.8276526215879424,-0.8454666268087516,1.026459595965441,1.3833204992533044,-0.6794020409312079,0.3784910808450626,0.2448759024557759,0.1792283481371868,2.1324933490404656,1.8602886493790056,1.7988144460293882,1.707357817474982,3.7221084561354183,2.0282591201200457,0.8965475316323768,0.0780983783972614,0.3246749227985017,-1146.6936747814727,2239.10233539348,-2220.017980425869,4551.574039924036,-286.33910599976645,478.6808364213621,-513.1717864736556,1016.8680983686014,1536.0,384.0,1
0,5.0,8.528493002370508,-0.9600243624492656,-0.8673906404778955,-0.796580551119776,-0.8538254593698003,1.129931326502256,1.52499998783512,-0.7116277556739792,0.3492884301895881,0.2408761037173745,0.1002467414994781,1.4826068691482392,1.0431659186458404,0.7942612192988108,1.0264457078227336,0.2771393383305676,0.1458387175555824,-0.3285499093745858,0.0983933004155682,0.3136915633325582,-1192.3445757900167,-1068.628649105716,-2311.319782442957,-2063.887929074356,-251.0732571591444,-230.89216793790632,-442.6400887924116,-402.2779103499354,1536.0,384.0,2
0,5.0,9.566534485731058,-0.9622537173543342,-0.8352343666638551,-0.7887092545101665,-0.836046738457598,1.0651053577967258,1.469599684051967,-0.7008972829504752,0.3740934290563319,0.2508954248914717,0.1797624421234713,1.4825609174963938,1.097523186285602,0.9529789889604467,1.075541270361013,0.279943170953723,0.1557604963878165,-0.3409649145287805,0.1033689351846926,0.3147057760848259,-1118.8271330331477,-1019.253900588218,-2164.284896929219,-1965.13843203936,-316.510290251965,-242.1831629835656,-573.5141549780527,-424.859900441254,1536.0,384.0,3
0,5.0,9.58963483308021,-0.9918442849764356,-0.8632291215292651,-0.7958931843766174,-0.8556215721328,1.0350602960977544,1.4450000031509738,-0.6872613938884615,0.466740151126174,0.257144695756533,0.1004806857912201,1.4918571640621894,1.0465051168587651,0.8304565876284179,1.0311670993299415,0.2775726284166273,0.1530986311714368,-0.3108881143015785,0.0456402779804708,0.3110190165354118,-1108.8790288951504,-1003.329416224024,-2144.388688653225,-1933.289463310972,-329.269907552643,-300.6565874630772,-599.0333895794088,-541.806749400277,1536.0,384.0,4
