Subject;k1;Fatigue stage;z1;z2;z3;zNW;a;Condition;x0 (nlDDM);nondectime (nlDDM);umixturecoef (nlDDM);vNW;v1;v2;v3;Bound;x0 (DDM);nondectime (DDM);umixturecoef (DDM)
1.0;9.973709927909054;2;-0.7987421747395418;-0.9486824590588656;-0.8588991671029306;-0.985937748149141;0.1389012967748453;speed;0.0587219459884315;0.3754775588782451;0.0122076203395627;0.7910735197842124;1.0;0.7102137207628826;0.3600503387505213;0.1303005758633725;0.0009212159341118;0.3642705851163549;0.0139186963286516
3.0;1.71897811628103;2;-0.9289285336709846;-0.7809411538400924;-0.6884324791550931;-0.7509163510315755;1.6000311486615366;speed;0.0479611723316405;0.1237586486334401;0.0974422654605199;0.7499492499473978;1.0;0.7955348659316921;0.6014014694436544;0.1401155093748358;0.0015057142957705;0.3478103133000811;0.0250897488099948
4.0;8.401746748482127;2;-0.8259352228164045;-0.9057787768822794;-0.9091843494966252;-0.9822546615696156;0.1190577312460305;speed;0.0514614447782263;0.3577011412269965;0.0135333854030743;0.8355201061239479;1.0;0.8667955945836465;0.5821463764587812;0.1056781395205066;0.0019559291127109;0.337412050490734;0.004189772530728
5.0;3.340611963208897;2;-0.8438514215043703;-0.5426339578541494;-0.4288016425386816;-0.5067720625042911;1.5657875299343047;speed;0.0888453490427521;0.2135729003715359;0.0681671505063206;0.8762969338458612;1.0;0.920550489285059;0.6857500926306632;0.1237337435794037;0.0004591393379153;0.351011027161626;0.0134759461359079
6.0;9.851143249505276;2;-0.9967734979044072;-0.7791775301608964;-0.5603112432134179;-0.7693609523390887;0.1449387711834608;speed;0.0183430813383505;0.2844950733213309;0.0602062622767586;0.6333146156004432;0.9491386340442788;0.6621047087897372;0.4096273988856668;0.1232316356005168;0.0002267602904083;0.3221783882172663;0.031983152270701
7.0;9.998310552792526;2;-0.9395137220004558;-0.952095707433814;-0.8966192179617037;-0.9938356033308527;0.1427616210415609;speed;0.0133805099482977;0.2785926922839835;0.0094135480400425;0.4932631409099019;0.6917455270690807;0.404166483548548;0.2337393491997088;0.1205476371078591;0.0004127433267612;0.2838445857552728;0.0166326424696874
8.0;9.894671327795702;2;-0.9355235210844848;-0.3350930128793665;-0.0930357556835126;-0.3641623411343274;0.1476903165917011;speed;0.0110060245382273;0.3032225688730909;0.0647792265109174;0.4296966694945242;0.6650217333241746;0.3138218541041674;0.0971402602451542;0.1222555312270181;0.000940564288303;0.3303321946416156;0.0672049343427896
9.0;9.999549958019635;2;-0.9991216829368048;-0.9994993849437817;-0.9943201751790566;-0.9985129362494702;0.1448460015249097;speed;0.064227224784649;0.3966991620782104;0.0067302342638994;0.6708428061875775;1.0;0.6678461209567474;0.3584771954432294;0.1227714463714882;0.0005806346709743;0.3920941652514645;0.0166376808932721
10.0;4.5582819524740135;2;-0.6219407865243745;-0.4576857053707347;-0.4327743458985281;-0.4930244795910476;1.2174857515257105;speed;0.0089335339763373;0.1396204205934713;0.0996678382378014;0.758191770601177;1.0;0.7160171503140605;0.5018361485149562;0.119216753364633;0.0021359330865695;0.3142591672191204;0.0112910237247006
11.0;9.958070820238142;2;-0.9422647815371764;-0.9121348466674912;-0.9863407516385708;-0.981644993534184;0.1102868352765966;speed;0.0344021333975498;0.3725351279745581;0.0070545988700346;0.6589751263822774;1.0;0.5959056557033714;0.3629161601228735;0.1131341195983032;0.002177467022684;0.3630506386717689;0.0063476059138338
