,B (DDM),v (DDM),x0 (DDM),sz (DDM),k,z,a/B,x0,sz
68,1.0,0.2,0.0,0.686868686868687,2.7970217459374394,-0.7700438715505014,0.7230000289802581,-0.10915622274671322,0.5283057331013505
69,1.0,0.2,0.0,0.696969696969697,3.321649474260112,-1.0,0.6090000938831103,-0.22117183730583745,0.5691648279069168
70,1.0,0.2,0.0,0.7070707070707072,3.9964021401155088,-0.7889171261346091,0.6300000434894452,-0.19152449323387666,0.4613685939923391
71,1.0,0.2,0.0,0.7171717171717172,6.295994526845229,-0.6724953839254597,0.5383271425251355,-0.21807196301848286,0.3745254650186689
72,1.0,0.2,0.0,0.7272727272727273,3.666437842361939,-0.7420035823036055,0.6390000353137918,-0.09876928394575779,0.5985883930082396
73,1.0,0.2,0.0,0.7373737373737375,6.881009699370695,-0.3918537600330545,0.5590000077231095,-0.08835026368803911,0.37801943533273774
74,1.0,0.2,0.0,0.7474747474747475,5.031911221039283,-0.6632901171302782,0.5640000005958061,-0.05517251426793035,0.5146686107042213
75,1.0,0.2,0.0,0.7575757575757577,3.0990764114729656,0.050058997925737224,0.926000006165264,0.35103797861909514,0.559841907868452
76,1.0,0.2,0.0,0.7676767676767677,1.9857844562079223,-1.0,0.7680000061170824,-0.024083897273767474,0.6813292735004808
77,1.0,0.2,0.0,0.7777777777777778,4.9492404337858,-0.5865421143786722,0.5880000010014705,-0.04267851518341892,0.6437325230639925
78,1.0,0.2,0.0,0.787878787878788,4.326152606428285,-0.6840966601634011,0.5661888371992707,-0.016437077240014752,0.6469819476387628
79,1.0,0.2,0.0,0.797979797979798,4.8871428119281655,-0.5606883238965936,0.6102592674593545,-0.10040034546670962,0.6768137280070765
80,1.0,0.2,0.0,0.8080808080808082,3.833926801475964,-0.9864705237834303,0.5880000644834433,-0.06063551690726787,0.7577751204088794
81,1.0,0.2,0.0,0.8181818181818182,2.959225309025254,-0.6948842614984602,0.7120000308288731,-0.016172854933026892,0.7263247998432567
82,1.0,0.2,0.0,0.8282828282828284,6.845975424935827,-0.6026609594231467,0.49400000041989367,-0.05601214648123232,0.7141247366789301
83,1.0,0.2,0.0,0.8383838383838385,3.12732013307238,-0.853496090706306,0.6459998567375151,0.07329124687550448,0.8399068246365902
84,1.0,0.2,0.0,0.8484848484848485,4.184803525133778,-0.9673223034038021,0.5277183647291994,-0.07478737308821015,0.8291557820810513
85,1.0,0.2,0.0,0.8585858585858587,3.9280509597003705,-0.7081549572451368,0.6235374974450558,-0.008046460250351273,0.7180724833926106
86,1.0,0.2,0.0,0.8686868686868687,5.390491768917538,-0.5537594085237337,0.5680000081236979,0.019051340894461255,0.7692903603153467
87,1.0,0.2,0.0,0.8787878787878789,4.153941305527558,-0.6882409410030019,0.5950000269145514,-0.01963834022163713,0.8089500107136423
88,1.0,0.2,0.0,0.888888888888889,4.611095076836393,-0.5549809620397077,0.6270000016745861,0.015982159673797902,0.8020448833250464
89,1.0,0.2,0.0,0.8989898989898991,4.172576099361125,-0.8197415484885715,0.5944792378035559,-0.02017336801331715,0.8554082651391117
90,1.0,0.2,0.0,0.9090909090909092,4.353466947856444,-0.5192022941372825,0.6370314312079925,0.013334996811395161,0.9070828607411798
91,1.0,0.2,0.0,0.9191919191919192,6.333140851600826,-0.3981165838424684,0.5618145177321658,0.0014210697518102222,0.8372832753173887
92,1.0,0.2,0.0,0.9292929292929294,4.215872977607154,-0.6599635362034603,0.6160000030807642,-0.0011483242505267999,0.9457438542504066
93,1.0,0.2,0.0,0.9393939393939394,9.39232819522047,-0.5368943465394969,0.45979429238776426,-0.023702944935073522,0.8809735545764159
94,1.0,0.2,0.0,0.9494949494949496,5.624424223477085,-0.8282295631271628,0.49210872440510345,0.01771452935723139,0.9308747225542484
95,1.0,0.2,0.0,0.9595959595959597,7.4856996220271625,-0.5540321131268121,0.48200004904969884,0.012811421025734182,0.9683115135422962
96,1.0,0.2,0.0,0.9696969696969697,4.057729324706027,-0.8738824080651675,0.5670995151516416,0.02265343851909174,0.992027036908308
97,1.0,0.2,0.0,0.9797979797979799,9.598986214172982,-0.6930974212886566,0.36738593111939233,0.04299758725214242,0.9817226781996495
98,1.0,0.2,0.0,0.98989898989899,6.125397154974744,-0.6230108192669899,0.5270000000908585,0.008150905412602993,0.9903339647018377
99,1.0,0.2,0.0,1.0,7.9047157662432355,-0.8499129781071867,0.4170000579967864,-0.014165124543748409,0.9816354139323951
