,Bound (DDM),Drift (DDM),SP (DDM),SP var (DDM),k,z,a/B,x0,sz
49,0.2,0.5,0.8,0.0,9.997010464684818,-0.9291790730988053,0.2472959806368955,0.8756392736304928,0.5477167060858228
50,0.2,0.7,0.8,0.0,5.541238885548189,-0.6356260878545228,0.684999967503977,0.9568972634839452,0.15880845276809424
51,0.2,1.0,0.8,0.0,9.2185439063433,-0.7360791216182209,0.6639999958617094,0.9595900435258531,0.544857286297916
52,0.2,0.0,0.8,0.05,2.9779508137606028,-0.6621493101779174,0.19573213143204304,0.7794936876342684,0.822586647399713
53,0.2,0.5,0.8,0.05,9.850859653451945,-0.7453101974245058,0.28996076595775033,0.9013478006958975,0.3675929244427936
54,0.2,0.7,0.8,0.05,9.354812332671832,-0.984796330375032,0.4046462434572291,0.9278314459292016,0.23087495282885917
55,0.2,1.0,0.8,0.05,8.468661724765186,-0.8685701824664009,0.44345046877705574,0.9525264987763105,0.05332216810746393
56,0.2,0.0,0.8,0.1,2.0875802458228008,-0.8093718181787688,0.20088857812048388,0.8238737294373784,0.7117040002675027
57,0.2,0.5,0.8,0.1,8.777933175295182,-0.7813958949918554,0.2929648641829812,0.904144955088694,0.17287363101747233
58,0.2,0.7,0.8,0.1,3.0691917516089053,-0.7536373912109662,0.892999996571932,0.9705276151522706,0.1561997746442027
59,0.2,1.0,0.8,0.1,7.188636054049434,-0.5536939255985377,0.981727354203461,0.973442204891463,0.090211056586468
60,0.2,0.0,0.8,0.2,0.8009773809059624,-0.7093490283347239,0.1838469929702029,0.7985069877301489,0.6561098708113953
61,0.2,0.5,0.8,0.2,9.911428898553709,-0.8471391425384591,0.24149372321732399,0.8859608702945838,0.08320929481176204
62,0.2,0.7,0.8,0.2,9.33542333059193,-0.9599433914484768,0.3936029193160113,0.9368005360079477,0.14348760419176276
63,0.2,1.0,0.8,0.2,7.754144506753627,-0.7792613891428329,0.728999984743705,0.9698798723549416,0.2496796126618991
64,0.5,0.0,0.1,0.0,2.160653501902241,-0.5015693164386594,1.2645927445268763,-0.36876824746254977,0.5752374276799198
65,0.5,0.5,0.1,0.0,0.9553040380815467,-0.9146501543505937,1.3109295072921772,0.1121898305459399,0.7125168303262669
66,0.5,0.7,0.1,0.0,0.24032793124735394,-0.9876731830054744,3.5599999883780535,0.003974382563276091,0.8173495064533447
67,0.5,1.0,0.1,0.0,0.9562560798020185,-0.8833352099841371,1.3649999020756112,0.6068849072765199,0.23031037719265912
68,0.5,0.0,0.1,0.05,1.2472685994741637,-0.501879404096111,1.5526244182522808,-0.2974781729924041,0.760708573279357
69,0.5,0.5,0.1,0.05,1.2357964793610798,-0.9815945786358039,1.1599961620006496,0.07206893040547957,0.6900935746406944
70,0.5,0.7,0.1,0.05,3.380575232180904,-0.5966884924127996,0.727999890724185,0.3305564856069545,0.23138156031960455
71,0.5,1.0,0.1,0.05,7.256402095182984,-0.6415236845608917,0.6150206626830627,0.2091258306627981,0.011585815402078536
72,0.5,0.0,0.1,0.1,6.348063406598152,-0.5,0.3889507386261518,-0.0962750395942309,0.05308131297142138
73,0.5,0.5,0.1,0.1,1.7692439912490237,-0.9407071568607569,0.937883054731639,0.10580161873496152,0.6365959648440285
74,0.5,0.7,0.1,0.1,3.066730504844713,-0.7204846441747014,0.722999988049242,0.3030722055366861,0.22927672381558767
75,0.5,1.0,0.1,0.1,2.964172210666427,-1.0,0.868000014445156,0.28889273438485485,0.3861190424999949
76,0.5,0.0,0.1,0.2,0.7281414006082645,-0.5010084141981918,1.9360000006840474,-0.20695705043039758,0.8726702262178049
