Dataset,Subject,correct mean RT (empirical),correct mean RT (nlDDM),correct mean RT (DDM),error mean RT (empirical),error mean RT (nlDDM),error mean RT (DDM),Error rate (empirical),Error rate (nlDDM),Error rate (DDM),LogLoss (nlDDM),LogLoss (DDM),BIC (nlDDM),BIC (DDM),Performance Loss (nlDDM),Performance Loss (DDM)
Wagenmakers (accuracy),15,0.8507611777535441,0.8401063937029416,0.8461302009703013,1.0271463414634145,0.9699361822293722,0.9577037058149847,0.04279749478079332,0.044477079892437904,0.043472072834086294,115.13917593266419,113.9418841252522,292.0619818670661,296.532246030213,0.001687833547930987,0.0016639836936845683
Wagenmakers (accuracy),16,0.7877130044843049,0.759195903961477,0.787094211060845,0.8037321428571429,0.9451019073884627,0.873639258979148,0.05907172995780591,0.06136520106422206,0.06662112833910717,76.16172208327795,86.19383094217852,214.0126346868511,240.93120690690728,0.011690598047368241,0.004860912261538572
Wagenmakers (accuracy),17,0.7769124866595518,0.7649126908410582,0.7806683365715502,1.087909090909091,1.0471078097005988,0.7289050858938566,0.022940563086548488,0.02217399169945458,0.01890085697043637,-130.23162722618858,-114.88747764186303,-198.67023477842622,-161.11604453489167,0.0026658527725377506,0.0024029152263747976
Wagenmakers (speed),1,0.538417824074074,0.5341992647794492,0.5604995779418004,0.5555625000000001,0.6034554070297452,0.5574412918529457,0.1,0.10066956334456824,0.12365738092494671,-398.3427071373013,-359.39806987803485,-776.084614421217,-698.195339902684,0.015980119038042532,0.01655350537977664
Wagenmakers (speed),2,0.5783908355795149,0.5730704110770886,0.5792344813031067,0.618578947368421,0.7574318048111848,0.6121186629405275,0.09290953545232274,0.08581599839448287,0.10751309978939845,-180.4719826999411,-187.48242495190215,-342.9028199317538,-356.92370443567586,0.00859832192501745,0.010610266291188034
Wagenmakers (speed),3,0.5471741637831603,0.5447667715059687,0.5474129633132486,0.5204193548387097,0.6995744698102284,0.544159543312977,0.096875,0.13082799288369018,0.12278372715560404,-379.2937431543627,-435.990713711594,-737.9866864553397,-851.3806275698024,0.015406645171810927,0.012425729604323976
Wagenmakers (speed),4,0.4703085714285714,0.46316266983178805,0.4703204000900121,0.46702352941176484,0.5785799965973508,0.482601161597011,0.08854166666666667,0.14095715385579616,0.10256847921389992,-820.8501527696264,-878.6222045355761,-1621.0995056858671,-1736.6436092177664,0.013905861023606787,0.008644385640513105
Wagenmakers (speed),5,0.480075723830735,0.47562141409189806,0.4874037063449918,0.4923387096774194,0.6477082846088968,0.5628465921406354,0.06458333333333334,0.10065574033197301,0.05262907171450797,-865.7764568290437,-843.5251547262968,-1710.9521138047016,-1666.4495095992079,0.008281441953320038,0.007840955754479802
Wagenmakers (speed),6,0.49247097625329816,0.4888665673216806,0.5015700780181002,0.4523781094527363,0.5388958510495145,0.4295001727218618,0.20959332638164754,0.1219437157745865,0.20177431070640978,-106.0245516119844,-224.1743552777334,-191.4514299993185,-427.75103733081653,0.03291453688133732,0.008273881932484007
Wagenmakers (speed),7,0.5116922024623803,0.4961970425331404,0.5013066918758733,0.44196,0.5804615913185068,0.43906797812231285,0.23535564853556484,0.24685656460323763,0.2740808099210827,29.44635286766124,-69.39264490828853,79.48097947447668,-118.19701607742286,0.058101795331522585,0.08389232586805165
Wagenmakers (speed),8,0.5557851622874808,0.5187349166684633,0.5372486994520507,0.511060070671378,0.6315554866660543,0.5049578359610543,0.3043010752688172,0.3268237089948455,0.31279148526242895,235.8904924303566,116.88937401224587,492.2865386191551,254.28430178293365,0.01769913554588452,0.01351372321533304
