,a (nl-DDM),k (nl-DDM),z (nl-DDM),x0 (nl-DDM),sz (nl-DDM),drift,B,x0,sz
17,1.0,5.0,0.0,0.0,0.17171717171717174,0.05763742222910968,0.28414478762096973,-0.06846637722527693,0.015950867574255012
18,1.0,5.0,0.0,0.0,0.18181818181818182,0.030627108683233005,0.2833976655738235,-0.026905040526951085,0.02937705851041228
19,1.0,5.0,0.0,0.0,0.19191919191919193,0.021084623784988012,0.27857739518296487,-0.026897589243706777,-0.00013482028209332864
20,1.0,5.0,0.0,0.0,0.20202020202020204,0.01,0.2821058812376478,0.0033819046655181317,0.015237058919435054
21,1.0,5.0,0.0,0.0,0.21212121212121213,0.021300273661562782,0.2762774644010886,-0.025982024607789422,0.01178792887272384
22,1.0,5.0,0.0,0.0,0.22222222222222224,0.04275988789647573,0.2775920066777813,-0.043141718769523774,0.01315578638096171
23,1.0,5.0,0.0,0.0,0.23232323232323235,0.01,0.2814522714276606,-0.0064281271106233495,0.008764421466826544
24,1.0,5.0,0.0,0.0,0.24242424242424243,0.02639628192123153,0.2803919853471575,-0.02048153241866435,0.02500333961300716
25,1.0,5.0,0.0,0.0,0.25252525252525254,0.01,0.2746828436996429,-0.026745121997919674,0.0027487929130476374
26,1.0,5.0,0.0,0.0,0.26262626262626265,0.01,0.2748033193571606,-0.025279004394957227,0.0211655549314973
27,1.0,5.0,0.0,0.0,0.27272727272727276,0.020722491348007573,0.26940284162305783,-0.030348611096903788,0.03381101583243562
28,1.0,5.0,0.0,0.0,0.2828282828282829,0.033681896555200895,0.2716801673196043,-0.02420793387762099,0.006533465796920934
29,1.0,5.0,0.0,0.0,0.29292929292929293,0.01,0.2651685101835026,-0.007081834061104408,0.007608081038198877
30,1.0,5.0,0.0,0.0,0.30303030303030304,0.014851212363987301,0.2713918324775575,-0.023994231778926567,0.01440146799655806
31,1.0,5.0,0.0,0.0,0.31313131313131315,0.01,0.2703974592732914,-0.02205155921403812,0.019014705959702338
32,1.0,5.0,0.0,0.0,0.32323232323232326,0.010646417337768669,0.2719314298883102,-0.015055778329716274,0.005115773099704235
33,1.0,5.0,0.0,0.0,0.33333333333333337,0.01,0.260528856252515,-0.030140549284712548,0.012763233157202736
34,1.0,5.0,0.0,0.0,0.3434343434343435,0.029910562156809248,0.26270947519531873,-0.027225892398308638,0.014791805870553176
35,1.0,5.0,0.0,0.0,0.3535353535353536,0.01,0.2605189645587229,0.025350729725436727,0.008224109366911536
36,1.0,5.0,0.0,0.0,0.36363636363636365,0.02023460130619281,0.26154427490240995,-0.018524098638857955,0.019523157891308207
37,1.0,5.0,0.0,0.0,0.37373737373737376,0.01,0.26354886512974574,-0.011531449551114514,0.06316280931907414
38,1.0,5.0,0.0,0.0,0.38383838383838387,0.01,0.2604138351218115,-0.025536578928351705,0.037591619617598715
39,1.0,5.0,0.0,0.0,0.393939393939394,0.01,0.260124101975026,-0.020313321128243578,0.010204390942236463
40,1.0,5.0,0.0,0.0,0.4040404040404041,0.013061971143365141,0.25436098445190325,-0.033720607051381024,0.016040445013419058
41,1.0,5.0,0.0,0.0,0.4141414141414142,0.05593773836130481,0.25698059631444004,-0.0316271260965989,0.016061257878068114
42,1.0,5.0,0.0,0.0,0.42424242424242425,0.01,0.2632077332089011,-0.02154282347514236,0.048367405477051095
43,1.0,5.0,0.0,0.0,0.43434343434343436,0.01,0.2544142847982762,-0.015057527815073302,-0.0018980210735409786
44,1.0,5.0,0.0,0.0,0.4444444444444445,0.023594332082898517,0.2507030399083563,-0.011183747364893803,0.0018935691872743465
45,1.0,5.0,0.0,0.0,0.4545454545454546,0.02280469997292954,0.25123325333608815,-0.023718667885699762,-0.0034869066736895604
46,1.0,5.0,0.0,0.0,0.4646464646464647,0.01,0.2555921471313214,-0.008486113109629878,-0.003512555066345846
47,1.0,5.0,0.0,0.0,0.4747474747474748,0.010263280383916162,0.24921185357345532,-0.023700191195106912,0.01191501681685958
48,1.0,5.0,0.0,0.0,0.48484848484848486,0.01,0.2486133009106286,-0.03006930619010273,0.0010326321051354892
49,1.0,5.0,0.0,0.0,0.494949494949495,0.01,0.24447135662640296,-0.008118088469120432,0.021531623142969414
50,1.0,5.0,0.0,0.0,0.5050505050505051,0.01,0.2471092704784219,-0.03999094543887005,0.014656005042613218
51,1.0,5.0,0.0,0.0,0.5151515151515152,0.01,0.2404093402286831,-0.02847096762561563,0.03077491331059723
52,1.0,5.0,0.0,0.0,0.5252525252525253,0.029013468686151796,0.24716175268936968,-0.014421197901325788,-0.0008918992664121994
53,1.0,5.0,0.0,0.0,0.5353535353535354,0.01,0.24357275521746669,-0.036010041643940394,0.005917995049876668
54,1.0,5.0,0.0,0.0,0.5454545454545455,0.021927101944443236,0.24116505647148312,-0.015024147624484785,0.006247131451697863
55,1.0,5.0,0.0,0.0,0.5555555555555556,0.01,0.24007833315110005,-0.028825351225570728,0.062198469084182806
56,1.0,5.0,0.0,0.0,0.5656565656565657,0.01,0.24072990556259288,-0.01926427210817183,0.01091315847478369
57,1.0,5.0,0.0,0.0,0.5757575757575758,0.01,0.23590749180791004,-0.005795922265463105,0.02053559583285991
58,1.0,5.0,0.0,0.0,0.5858585858585859,0.01,0.23430444068220968,-0.00860569509448561,0.034780731296429
59,1.0,5.0,0.0,0.0,0.595959595959596,0.01,0.23435104029248777,-0.02921380944798513,0.00892161453961271
60,1.0,5.0,0.0,0.0,0.6060606060606061,0.034647763311976144,0.23860633631476968,-0.010584626157447818,0.022335229621837982
61,1.0,5.0,0.0,0.0,0.6161616161616162,0.01581484977585105,0.23494639395453287,-0.005207363247372143,0.02575348821914325
