,a (nl-DDM),k (nl-DDM),z (nl-DDM),x0 (nl-DDM),sz (nl-DDM),drift,B,x0,sz
28,1.0,5.0,-0.43434343434343425,0.0,0.0,2.0967586165130534,2.008341939445135,0.5635285424958327,0.05755172638569439
29,1.0,5.0,-0.41414141414141414,0.0,0.0,2.1485072764897364,0.8007239500088712,-0.15344318468132145,0.13746339385939277
30,1.0,5.0,-0.3939393939393939,0.0,0.0,1.9691506014532807,9.757740586372869,0.9111467510423255,0.013667513181921054
31,1.0,5.0,-0.3737373737373737,0.0,0.0,1.99714010728501,1.2492017132322943,0.27951369211369914,0.013603909362104982
32,1.0,5.0,-0.3535353535353535,0.0,0.0,1.9091208818571814,1.2958517689247246,0.3277374686420673,0.03159871608598541
33,1.0,5.0,-0.33333333333333326,0.0,0.0,1.867464242895217,2.414291534045157,0.6319382097709747,0.0020115351229679224
34,1.0,5.0,-0.31313131313131304,0.0,0.0,1.7877755757190779,3.2051515234875625,0.727797591756838,0.004526061159621619
35,1.0,5.0,-0.2929292929292928,0.0,0.0,1.7429270994105321,1.7713440917507013,0.5081357128855153,0.005793473081034506
36,1.0,5.0,-0.2727272727272727,0.0,0.0,1.6363373573520654,0.5212746935376318,-0.6338816704770021,0.11515472639303592
37,1.0,5.0,-0.2525252525252525,0.0,0.0,1.4087132176233301,3.675927007391058,0.7873502061763267,0.007190277223973807
38,1.0,5.0,-0.23232323232323226,0.0,0.0,1.2282082345395862,0.44244163869673425,-0.606650999167716,0.004729921836118978
39,1.0,5.0,-0.21212121212121204,0.0,0.0,1.1753716298656156,0.4398779709543099,-0.5752569670456105,0.00045503088875697983
40,1.0,5.0,-0.19191919191919182,0.0,0.0,1.154022459263918,0.45436209593967636,-0.580646936105226,0.006217814401799915
41,1.0,5.0,-0.1717171717171716,0.0,0.0,1.0776271701972886,0.4342015656053535,-0.5910532699142812,0.004080578865228945
42,1.0,5.0,-0.1515151515151515,0.0,0.0,0.8068379323251766,0.3801410156377596,-0.5116489746797591,0.005154937720852626
