,a (nl-DDM),k (nl-DDM),z (nl-DDM),x0 (nl-DDM),sz (nl-DDM),drift,B,x0,sz
22,1.0,5.0,0.0,-0.5555555555555556,0.0,0.01,1.0489411185142536,-0.8494681450966796,0.005296822332536033
23,1.0,5.0,0.0,-0.5353535353535352,0.0,0.01,0.9203948318910733,-0.8262723036971338,0.013389915352358894
24,1.0,5.0,0.0,-0.5151515151515151,0.0,0.01,3.3742162827435536,-0.9503147500997342,0.01751843769205985
25,1.0,5.0,0.0,-0.4949494949494949,0.0,0.01,8.490604554042442,-0.9799938702626558,-0.0026529772683793196
26,1.0,5.0,0.0,-0.4747474747474747,0.0,0.01,1.1148185942612368,-0.8462683902829757,0.01825277438052164
27,1.0,5.0,0.0,-0.4545454545454545,0.0,0.01,0.3384656965171553,-0.4840271146896006,0.040538427598964866
28,1.0,5.0,0.0,-0.43434343434343425,0.0,0.01,1.377910963019925,-0.872133318460785,-0.0041047788320323075
29,1.0,5.0,0.0,-0.41414141414141414,0.0,0.01,1.3241237103837742,-0.8610924444816151,0.000252034561294634
30,1.0,5.0,0.0,-0.3939393939393939,0.0,0.01,3.173467945076939,-0.9414160753801468,0.018283706421049484
31,1.0,5.0,0.0,-0.3737373737373737,0.0,0.010005679745298757,0.5338298557800396,-0.6534430522081368,0.01573416103036851
32,1.0,5.0,0.0,-0.3535353535353535,0.0,0.01,2.020808018590846,-0.9061453399280237,0.004473336943300987
33,1.0,5.0,0.0,-0.33333333333333326,0.0,0.01,0.5021968786729234,-0.6112407658016561,0.011924047304890717
34,1.0,5.0,0.0,-0.31313131313131304,0.0,0.01,0.39388551337214395,-0.5003644230832831,0.013670642840672986
35,1.0,5.0,0.0,-0.2929292929292928,0.0,0.01,0.552447902292359,-0.6320527383914649,0.02117532085900309
36,1.0,5.0,0.0,-0.2727272727272727,0.0,0.01,1.7613260345197705,-0.8831437756041552,0.00425408361170776
37,1.0,5.0,0.0,-0.2525252525252525,0.0,0.01,0.8934646624091096,-0.7728955194825806,0.008128742097617714
38,1.0,5.0,0.0,-0.23232323232323226,0.0,0.01,0.3220516182291622,-0.34656498307607086,0.03275600679127311
39,1.0,5.0,0.0,-0.21212121212121204,0.0,0.01,0.33868900102142074,-0.35554269125420623,-0.0007380718821590193
40,1.0,5.0,0.0,-0.19191919191919182,0.0,0.01,0.32449061524892553,-0.31700307414881657,0.0074037120740766404
41,1.0,5.0,0.0,-0.1717171717171716,0.0,0.01,0.31970806093925486,-0.2911250467694282,0.03724969214137053
42,1.0,5.0,0.0,-0.1515151515151515,0.0,0.01,0.3167855514368867,-0.25605243222383545,0.01835250259431498
