,Subject,LogLoss (nlDDM),LogLoss (DDM),LogLoss (OU),LogLoss (DWM),BIC (nlDDM),BIC (DDM),BIC (OU),BIC (DWM),Perf (nlDDM),Perf (DDM),Perf (OU),Perf (DWM)
15,16.0,-480.45372989580983,-457.83840863181365,-478.8221532770715,-525.5549727354643,-905.3433848565022,-866.2865284324118,-902.0802316190255,-989.3720844319092,0.0005408968047754609,0.0002421319800690681,0.00043782781794904536,0.0002652377341228093
16,17.0,-606.4923446388811,-615.1522668635744,-613.4801479389181,-617.0651378102441,-1157.420614342645,-1180.9142448959333,-1171.3962209427189,-1172.3924145814688,0.00011660693418379917,0.0001483004940365441,0.00019576626158687434,0.00010298974159473977
17,18.0,-232.28652294807478,-211.79124067626356,-217.8796629267032,-223.14523494598433,-409.04654930372647,-374.22559549259546,-380.2328292609833,-384.5943625670541,0.0008132000356712555,0.0002600578055193029,0.0009699757902247814,0.0005047999287108734
18,19.0,-336.7009671556449,-356.7321725121509,-331.22759390736275,-357.29678100975957,-617.8378593761723,-664.0740561930863,-606.891112879608,-652.8557009804998,0.0005669748182291568,0.0003537474931639894,0.0010939736132776464,0.00012788462312113367
19,20.0,-471.68766059532254,-439.7953833505376,-462.8354945911691,-470.8269363452057,-887.8112462555276,-830.2004778698597,-870.1069142472207,-879.9160116513921,0.00045080615341477946,0.00046644259735316,0.0004580831051684901,0.0004370256252213858
20,21.0,-544.5779608531368,-490.38105022275244,-533.8042881470556,-543.9321628674475,-1033.5918467711563,-931.3718116142894,-1012.0445013589937,-1026.1264646958755,0.00011824687639276299,4.64976069381313e-05,4.574984266182908e-05,4.6480974577830643e-05
21,22.0,-337.7100517656073,-339.0794296886302,-328.86343593038106,-340.16559224935753,-619.8560285960972,-628.768570546045,-602.1627969256447,-618.5933234596957,0.00029960276762183507,0.00027453005990994597,0.0005391100346834519,0.00022899441037717554
22,23.0,-403.426130325082,-402.62753610655415,-394.43742641850775,-401.53230316334776,-751.2881857150466,-755.8647833818928,-733.3107779018981,-741.3267452876762,0.00012506864619529377,0.00016391429577585309,0.00015622880008360598,0.00015655282054859764
23,24.0,-494.0818360640994,-505.44647151955405,-479.50452404263274,-505.50527935213125,-932.5995971930813,-961.5026542078926,-903.444973150148,-949.2726976652432,0.00023913211650118958,0.00014701891987980992,0.00012931478398593227,0.00016314666778127047
24,25.0,-334.71779361286843,-331.98802590549457,-344.3103292889711,-334.9589946981592,-613.8715122906194,-614.5857629797737,-633.0565836428248,-608.180128357299,7.087628435364988e-05,6.83094390918712e-05,6.931607456168626e-05,4.507628360986613e-05
